City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,baardheere,2.3446,42.2764,26.04,78,34,0.57,SO,1698700316
83,mwanza,-2.5167,32.9,23.8,72,43,3.32,TZ,1698700317
84,revda,56.801,59.9303,-6.27,97,97,0.17,RU,1698700317
85,kingston,17.997,-76.7936,30.69,78,99,4.02,JM,1698700279
86,papatowai,-46.5619,169.4708,14.94,61,100,0.9,NZ,1698700318
87,mokolo,10.7398,13.8019,26.45,21,4,1.26,CM,1698700319
88,ankazobe,-18.3167,47.1167,19.64,72,17,1.72,MG,1698700320
89,punta arenas,-53.15,-70.9167,6.73,52,70,2.18,CL,1698700320
90,sukabumi,-6.9181,106.9267,21.2,94,17,0.66,ID,1698700195
91,vernon,50.2581,-119.2691,7.09,52,30,0.51,CA,1698700321
92,kirensk,57.7853,108.1119,-7.24,62,100,1.34,RU,1698700322
93,thompson,55.7435,-97.8558,-3.8,56,100,4.49,CA,1698700220
94,haiku-pauwela,20.9219,-156.3051,29.01,67,20,8.23,US,1698700285
95,dwarka,22.2394,68.9678,27.54,62,0,5.19,IN,1698700251
96,usinsk,65.9939,57.5281,-8.85,81,100,3.13,RU,1698700248
97,anatuya,-28.4606,-62.8347,15.52,78,99,7.88,AR,1698700324
98,hasaki,35.7333,140.8333,12.94,61,8,3.11,JP,1698700325
99,regina,50.4501,-104.6178,-6.09,53,55,10.73,CA,1698700201
100,plastun,44.7561,136.2939,7.93,89,0,2.84,RU,1698700326
101,constantia,44.1833,28.65,14.38,72,0,3.25,RO,1698700327
102,kidal,18.4411,1.4078,29.49,9,0,5.34,ML,1698700140
103,stanley,54.868,-1.6985,7.09,95,75,1.54,GB,1698700328
104,klyavlino,54.2649,52.0267,-2.28,97,100,4.49,RU,1698700328
105,safford,32.834,-109.7076,16.53,29,0,3.6,US,1698700329
106,port mathurin,-19.6833,63.4167,24.69,81,10,8.11,MU,1698700136
107,mount isa,-20.7333,139.5,20.87,73,25,0.0,AU,1698700330
108,kununurra,-15.7667,128.7333,24.99,88,100,3.09,AU,1698700330
109,udachny,66.4167,112.4,-21.97,100,98,1.77,RU,1698700251
110,lao cai,22.4833,103.95,21.87,97,100,0.36,VN,1698700331
111,fort frances,48.5999,-93.4003,-1.02,84,100,2.06,CA,1698700332
112,aasiaat,68.7098,-52.8699,-3.45,77,6,8.45,GL,1698700332
113,shahrak,34.1074,64.3052,5.82,49,23,1.63,AF,1698700333
114,saipan,15.1355,145.701,28.39,83,40,5.14,MP,1698700334
115,dodola,6.9833,39.1833,11.45,93,80,2.34,ET,1698700334
116,vanimo,-2.6741,141.3028,27.1,73,72,1.68,PG,1698700335
117,arraial do cabo,-22.9661,-42.0278,25.92,83,0,2.57,BR,1698700335
118,soio,-6.1349,12.3689,25.81,87,27,4.04,AO,1698700336
119,choibalsan,48.0667,114.5,-6.76,96,86,3.81,MN,1698700337
120,wailua homesteads,22.0669,-159.378,27.44,71,20,4.12,US,1698700337
121,ponta delgada,37.7333,-25.6667,18.4,72,40,3.09,PT,1698700338
122,margaret river,-33.95,115.0667,8.52,90,25,4.09,AU,1698700338
123,muscat,23.6139,58.5922,26.01,64,22,1.42,OM,1698700339
124,saldanha,-33.0117,17.9442,16.52,57,0,7.98,ZA,1698700340
125,decize,46.8285,3.4619,9.22,93,100,3.8,FR,1698700340
126,port isabel,26.0734,-97.2086,12.23,74,100,5.36,US,1698700083
127,le lavandou,43.137,6.366,16.9,83,75,15.43,FR,1698700341
128,kenai,60.5544,-151.2583,5.61,80,0,4.12,US,1698700342
129,al kharijah,25.4514,30.5464,25.16,51,0,3.18,EG,1698700342
130,masumbwe,-3.6333,32.1833,22.45,64,59,1.44,TZ,1698700163
131,carnarvon,-24.8667,113.6333,19.8,74,0,8.2,AU,1698700251
132,suntar,62.1444,117.6319,-10.47,97,100,1.53,RU,1698700343
133,hithadhoo,-0.6,73.0833,26.69,82,9,4.81,MV,1698700242
134,lionel town,17.8101,-77.2406,30.54,63,100,2.33,JM,1698700344
135,dombarovskiy,50.7587,59.5386,0.56,82,96,8.49,RU,1698700057
136,isafjordur,66.0755,-23.124,2.43,75,87,2.16,IS,1698700345
137,mercedes,-34.6515,-59.4307,20.48,30,100,4.1,AR,1698700346
138,kaiama,9.6225,3.9481,27.27,39,100,1.58,NG,1698700346
139,callao,-12.0667,-77.15,22.16,68,0,8.23,PE,1698700279
140,itoman,26.1247,127.6694,22.01,73,1,4.12,JP,1698700130
141,xai-xai,-25.0519,33.6442,17.76,82,100,4.52,MZ,1698700348
142,khash,28.2211,61.2158,19.55,34,7,2.6,IR,1698700348
143,chinoz,40.9364,68.7697,18.19,47,100,2.34,UZ,1698700349
144,klyuchi,52.2667,79.1667,5.54,98,100,2.55,RU,1698700269
145,martuk,50.7475,56.5056,2.55,71,100,6.17,KZ,1698700350
146,shiguai,40.7058,110.2856,8.57,40,28,2.33,CN,1698700351
147,mount pearl,47.5166,-52.7813,4.69,64,100,0.45,CA,1698700252
148,yaren,-0.5472,166.916,28.45,69,100,2.6,NR,1698700198
149,laguna,38.421,-121.4238,23.63,29,0,1.54,US,1698700313
150,huambo,-12.7761,15.7392,16.9,94,98,1.71,AO,1698700353
151,praia da vitoria,38.7333,-27.0667,18.75,86,14,5.32,PT,1698700238
152,zima,53.9202,102.0442,-8.15,79,13,0.68,RU,1698700354
153,thabazimbi,-24.5917,27.4116,13.37,68,100,3.56,ZA,1698700224
154,tamiahua,21.2667,-97.45,20.61,87,100,10.62,MX,1698700355
155,saint croix,17.7397,-64.7388,29.25,83,20,5.66,VI,1698700355
156,kangaba,11.9333,-8.4167,28.68,43,88,1.51,ML,1698700356
157,mil'kovo,55.6078,37.7956,9.67,98,100,4.84,RU,1698700356
158,jumla,29.2747,82.1838,7.28,82,6,1.94,NP,1698700273
159,ugoofaaru,5.6667,73.0,27.37,75,100,2.52,MV,1698700330
160,touros,-5.1989,-35.4608,26.21,76,23,9.68,BR,1698700283
161,kourou,5.1552,-52.6478,30.03,80,70,3.92,GF,1698700358
162,port pirie,-33.1833,138.0167,13.55,63,100,3.69,AU,1698700359
163,shiqian,27.5225,108.2281,15.77,82,82,0.32,CN,1698700359
164,borovskoy,53.8,64.15,-1.56,93,97,5.38,KZ,1698700360
165,tlahualilo de zaragoza,26.1167,-103.45,13.45,72,100,1.0,MX,1698700361
166,axim,4.8699,-2.2405,26.2,86,14,1.97,GH,1698700361
167,port alfred,-33.5906,26.891,13.99,93,70,0.89,ZA,1698700362
168,petropavlovsk-kamchatsky,53.0452,158.6483,-0.3,82,20,4.92,RU,1698700145
169,tura,25.5198,90.2201,19.68,87,95,1.56,IN,1698700252
170,hammerfest,70.6634,23.6821,1.25,86,40,3.6,NO,1698700363
171,tanguieta,10.6212,1.2665,28.41,32,54,2.6,BJ,1698700364
172,greenwood,34.1668,-82.1165,29.23,44,0,3.6,US,1698700364
173,natal,-5.795,-35.2094,26.36,69,0,4.63,BR,1698700365
174,nemuro,43.3236,145.575,9.77,80,9,4.45,JP,1698700318
175,greymouth,-42.4667,171.2,15.45,63,100,1.37,NZ,1698700169
176,kemijarvi,66.7131,27.4306,-14.13,98,72,1.53,FI,1698700366
177,nishinoomote,30.7333,131.0,20.8,58,0,0.72,JP,1698700367
178,nikolayevsk-on-amure,53.1406,140.73,-1.14,93,13,1.95,RU,1698700367
179,lazaro cardenas,17.9583,-102.2,28.87,77,19,3.25,MX,1698700368
180,mae hong son,19.3003,97.9685,22.16,99,100,0.79,TH,1698700368
181,whitehorse,60.7161,-135.0538,2.23,93,100,3.09,CA,1698700369
182,alofi,-19.0595,-169.9187,26.94,65,75,5.66,NU,1698700369
183,nogliki,51.8333,143.1667,2.41,71,93,1.34,RU,1698700370
184,chonchi,-42.6128,-73.8092,10.62,87,95,1.14,CL,1698700114
185,ancud,-41.8697,-73.8203,9.09,59,27,4.42,CL,1698700227
186,gudul,40.2105,32.2455,12.5,54,100,2.59,TR,1698700371
187,san rafael,-34.6177,-68.3301,16.84,19,10,4.69,AR,1698700259
188,veinticinco de mayo,-35.4323,-60.1727,21.1,27,69,0.89,AR,1698700372
189,nadbai,27.2333,77.2,24.31,41,26,1.44,IN,1698700372
190,carupano,10.6678,-63.2585,27.53,84,100,3.5,VE,1698700373
191,aykhal,66.0,111.5,-20.68,98,100,2.83,RU,1698700373
192,chibougamau,49.9168,-74.3659,-3.21,86,100,3.09,CA,1698700196
193,ujae,8.9322,165.7642,28.57,79,100,10.49,MH,1698700374
194,anadyr,64.75,177.4833,-0.72,100,75,6.0,RU,1698700244
195,vilyuchinsk,52.9306,158.4028,0.52,78,72,3.06,RU,1698700375
196,magadan,59.5667,150.8,-4.81,76,12,3.05,RU,1698700196
197,peace river,56.2501,-117.286,2.17,69,100,2.57,CA,1698700376
198,kapa'a,22.0752,-159.319,28.18,71,20,4.12,US,1698700121
199,moyynkum,44.2914,72.9469,16.81,48,100,4.51,KZ,1698700377
200,mahina,-17.5065,-149.489,29.87,70,40,2.57,PF,1698700378
201,vorgashor,67.5833,63.95,-12.15,88,100,3.69,RU,1698700190
202,iskateley,67.6803,53.1512,-6.66,95,99,4.47,RU,1698700230
203,tual,-5.6667,132.75,27.68,77,100,4.01,ID,1698700379
204,angaur state,6.906,134.13,28.17,75,13,3.52,PW,1698700380
205,tolanaro,-25.0319,46.9987,22.87,88,100,1.73,MG,1698700230
206,geiro,-6.15,36.8667,18.44,90,100,3.06,TZ,1698700381
207,puerto deseado,-47.7503,-65.8938,6.23,41,100,9.39,AR,1698700296
208,ayr,55.4627,-4.6339,5.55,75,0,4.63,GB,1698700382
209,chapeco,-27.0964,-52.6183,21.63,99,59,1.24,BR,1698700382
210,holualoa,19.6228,-155.9522,28.26,66,20,3.6,US,1698700383
211,abepura,-2.6333,140.5833,25.45,83,40,3.6,ID,1698700384
212,altay,47.8667,88.1167,5.48,100,100,1.35,CN,1698700385
213,cankuzo,-3.1333,30.5833,17.39,76,50,1.23,BI,1698700385
214,rio grande,-32.035,-52.0986,20.06,92,100,5.3,BR,1698700271
215,ola,59.5833,151.2833,-3.48,67,8,2.73,RU,1698700386
216,codrington,-38.2667,141.9667,11.34,58,55,6.51,AU,1698700314
217,palikir - national government center,6.9248,158.1611,29.41,79,75,1.54,FM,1698700271
218,lihue,21.9789,-159.3672,27.77,71,20,4.12,US,1698700154
219,tambura,5.6,27.4667,22.6,87,100,1.61,SS,1698700389
220,sayat,38.7839,63.8803,20.02,43,55,4.3,TM,1698700389
221,san andres,12.5847,-81.7006,31.01,70,20,1.03,CO,1698700381
222,barranca,-10.75,-77.7667,18.02,92,100,6.8,PE,1698700390
223,ghat,24.9647,10.1728,25.99,16,0,2.34,LY,1698700384
224,la sarre,48.8002,-79.1996,-0.44,55,100,3.78,CA,1698700156
225,la'ie,21.6477,-157.9253,30.03,72,6,4.93,US,1698700392
226,ippy,6.2679,21.2247,23.3,80,19,2.03,CF,1698700393
227,keflavik,64.0049,-22.5624,4.24,70,40,6.17,IS,1698700195
228,hawaiian paradise park,19.5933,-154.9731,27.24,88,75,3.6,US,1698700123
229,papao,-17.75,-149.55,29.82,80,2,8.54,PF,1698700394
230,cabo san lucas,22.8909,-109.9124,32.01,68,40,4.12,MX,1698700098
231,ta`u,-14.2336,-169.5144,27.1,81,57,11.94,AS,1698700395
232,bodaybo,57.8506,114.1933,-8.17,53,100,1.71,RU,1698700396
233,bikenibeu village,1.3673,173.1241,26.98,89,100,2.06,KI,1698700261
234,hotan,37.0997,79.9269,13.97,19,0,2.44,CN,1698700397
235,lebu,-37.6167,-73.65,10.42,64,91,6.97,CL,1698700398
236,vashkivtsi,48.3849,25.5102,14.16,52,75,2.36,UA,1698700399
237,vallegrande,-18.4897,-64.1069,22.83,55,6,5.17,BO,1698700399
238,polyarnyy,69.1989,33.4478,-5.59,90,100,7.39,RU,1698700167
239,kuybyshev,55.4475,78.3218,-5.33,91,100,5.72,RU,1698700400
240,nchelenge,-9.3451,28.734,25.5,65,100,2.86,ZM,1698700401
241,longyearbyen,78.2186,15.6401,0.91,69,75,3.6,SJ,1698700121
242,nuuk,64.1835,-51.7216,8.34,31,75,7.72,GL,1698700282
243,kutum,14.2,24.6667,24.22,20,76,3.98,SD,1698700402
244,la passe,45.5549,-0.8967,14.43,80,50,10.75,FR,1698700403
245,happy valley-goose bay,53.3168,-60.3315,0.17,40,40,6.69,CA,1698700403
246,salaga,8.5508,-0.5188,28.56,60,70,2.68,GH,1698700404
247,kalmunai,7.4167,81.8167,24.65,87,46,1.82,LK,1698700404
248,north bend,43.4065,-124.2243,18.95,42,0,0.0,US,1698700405
249,labrador city,52.9463,-66.9114,-5.05,54,75,2.57,CA,1698700352
250,bamboo flat,11.7,92.7167,27.64,79,98,2.65,IN,1698700283
251,cova figueira,14.8905,-24.2934,23.67,67,11,1.14,CV,1698700406
252,bambanglipuro,-7.95,110.2833,24.35,89,27,1.25,ID,1698700407
253,prado,-17.3411,-39.2208,24.74,74,96,5.95,BR,1698700199
254,kamina,-8.7386,24.9906,18.03,92,100,1.51,CD,1698700409
255,kovalam,8.3667,76.9967,28.05,83,75,0.0,IN,1698700409
256,theux,50.5332,5.8125,13.34,92,100,7.12,BE,1698700410
257,zharkent,44.1628,80.0,14.01,52,92,2.19,KZ,1698700410
258,east london,-33.0153,27.9116,14.94,80,73,5.72,ZA,1698700412
259,anchorage,61.2181,-149.9003,7.18,80,0,3.09,US,1698700412
260,nadi,-17.8,177.4167,29.0,61,20,3.09,FJ,1698700312
261,choyr,46.3611,108.3611,-4.69,82,9,1.73,MN,1698700413
262,krasnyy yar,46.5331,48.3456,4.96,62,0,1.87,RU,1698700413
263,urzhar,47.093,81.6294,12.01,95,100,1.59,KZ,1698700414
264,ulladulla,-35.35,150.4667,18.76,52,2,3.7,AU,1698700193
265,el galpon,-25.3807,-64.6526,20.43,79,100,2.59,AR,1698700415
266,dahegam,23.1667,72.8167,23.87,37,10,2.89,IN,1698700415
267,tsengel,49.4783,100.8894,-1.8,77,94,1.07,MN,1698700416
